respondent_id,survey_date,age,gender,education,employment_status,annual_income,region,city_type,customer_satisfaction,product_usage_frequency,experience_years,last_purchase_amount,nps_score,response_quality_score,response_time_seconds,sampling_weight
RESP_0001,2025-10-06 12:48:27.835629,40,Female,Bachelor,Employed,67034.10557831546,North,Rural,8.4,13.0,8.9,153.23,4.0,82.8,118,1.6327253306087381
RESP_0002,2025-07-31 12:48:27.835629,33,Female,High School,Unemployed,81497.780114616,South,Tier-2,5.2,8.0,3.1,478.81,7.0,91.4,136,0.7256557024927724
RESP_0003,2025-07-20 12:48:27.835629,42,Male,Bachelor,Employed,96661.28820958437,North,Metro,7.5,8.0,4.2,489.08,,78.1,150,0.5224721057947963
RESP_0004,2025-08-21 12:48:27.835629,53,Male,High School,Self-Employed,15000.0,Central,Rural,5.1,9.0,4.2,158.75,2.0,70.9,261,2.5397949587247037
RESP_0005,2025-08-17 12:48:27.835629,32,Female,Bachelor,Employed,113631.47319836657,South,Tier-1,6.6,13.0,1.2,434.57,6.0,71.2,91,0.7256557024927724
RESP_0006,2025-08-14 12:48:27.835629,32,Female,Master,Unemployed,22851.31013643833,West,Metro,8.0,10.0,0.0,433.11,9.0,61.4,405,0.580524561994218
RESP_0007,2025-08-03 12:48:27.835629,53,Female,Bachelor,Student,15000.0,West,Tier-2,5.5,128.0,0.2,196.05,9.0,90.4,397,0.7256557024927724
RESP_0008,2025-07-30 12:48:27.835629,44,Female,High School,Unemployed,15000.0,East,Tier-1,7.8,8.0,1.0,175.68,5.0,91.0,216,0.7256557024927724
RESP_0009,2025-10-11 12:48:27.835629,29,Prefer not to say,Bachelor,Retired,43235.624417847655,South,Metro,,7.0,3.5,319.28,9.0,86.9,72,1.161049123988436
RESP_0010,2025-09-24 12:48:27.835629,41,Male,High School,Student,16596.52480173747,Central,Metro,14.685830944866122,12.0,7.1,857.66,10.0,89.9,72,0.8127343867919051
RESP_0011,2025-07-28 12:48:27.835629,29,Male,PhD,Student,33845.60473826614,Central,Tier-1,6.0,2.0,9.6,554.67,10.0,95.9,310,1.0159179834898815
RESP_0012,2025-09-30 12:48:27.835629,29,Male,High School,Retired,47600.66401529379,South,Tier-3,5.5,6.0,0.1,263.43,9.0,69.7,87,0.7256557024927724
RESP_0013,2025-09-09 12:48:27.835629,37,Male,Bachelor,Student,31410.316770815298,East,Tier-2,4.8,6.0,13.8,32.7,9.0,,383,0.7256557024927724
RESP_0014,2025-07-21 12:48:27.835629,18,Female,,Self-Employed,24453.204011057725,Central,Rural,6.1,6.0,1.2,242.79,,90.8,302,3.809692438087055
RESP_0015,2025-07-20 12:48:27.835629,18,Male,Master,Employed,15000.0,North,,4.1,13.0,,32.12,8.0,85.9,87,0.9796351983652429
RESP_0016,2025-07-28 12:48:27.835629,-1,Female,Bachelor,Employed,36958.65175397482,South,Metro,6.2,6.0,,51.1,8.0,83.6,131,0.580524561994218
RESP_0017,2025-08-13 12:48:27.835629,22,Male,Master,Self-Employed,,North,Metro,8.6,6.0,0.2,124.65,7.0,70.6,289,0.7837081586921943
RESP_0018,2025-08-15 12:48:27.835629,38,Female,Below High School,Employed,20977.41300397558,East,Metro,6.7,9.0,1.4,268.74,,91.8,188,0.580524561994218
RESP_0019,2025-09-19 12:48:27.835629,24,Female,Bachelor,Employed,17288.083234394373,North,Metro,5.2,8.0,5.9,138.49,9.0,75.9,112,0.7837081586921943
RESP_0020,2025-10-02 12:48:27.835629,18,Male,Bachelor,Retired,29986.378837661327,South,Tier-3,7.3,14.0,0.7,592.31,10.0,88.4,225,1.0884835537391588
RESP_0021,2025-07-20 12:48:27.835629,52,Female,Bachelor,Student,30617.77986534911,South,Rural,7.2,6.0,0.5,,6.0,93.2,287,1.8141392562319312
RESP_0022,2025-09-26 12:48:27.835629,32,Male,Bachelor,Student,78273.57488763166,East,Rural,9.9,4.0,7.2,143.82,6.0,70.6,47,1.8141392562319312
RESP_0023,2025-08-11 12:48:27.835629,35,Male,Bachelor,Employed,128898.66368417926,Central,Metro,8.2,9.0,8.4,410.41,8.0,83.8,249,0.8127343867919051
RESP_0024,2025-10-08 12:48:27.835629,18,Male,,Employed,15000.0,West,Tier-3,7.5,7.0,0.0,129.89,4.0,80.3,276,1.0884835537391588
RESP_0025,2025-10-14 12:48:27.835629,28,Male,High School,Employed,178843.44625641647,West,Tier-1,8.4,8.0,3.9,273.78,8.0,81.5,35,0.7256557024927724
RESP_0026,2025-09-24 12:48:27.835629,36,Male,High School,Employed,19468.70376981405,West,Metro,6.8,,,14.94,3.0,90.2,142,0.580524561994218
RESP_0027,2025-09-08 12:48:27.835629,21,Female,High School,Employed,41690.202424770156,North,Tier-3,6.9,10.0,1.4,127.97,8.0,83.2,133,0.9796351983652429
RESP_0028,2025-08-14 12:48:27.835629,39,Female,High School,Employed,54649.22931550264,North,Tier-2,9.5,6.0,1.9,,8.0,77.5,93,0.6530901322434952
RESP_0029,2025-09-12 12:48:27.835629,27,Female,High School,Student,256700.72779861058,Central,Metro,4.5,4.0,1.7,,3.0,79.0,264,0.8127343867919051
RESP_0030,2025-09-30 12:48:27.835629,31,Male,Bachelor,Unemployed,23533.356748462007,South,Tier-1,8.5,10.0,2.2,297.3,5.0,87.2,71,0.7256557024927724
RESP_0031,2025-08-21 12:48:27.835629,27,Female,High School,Employed,15000.0,North,Metro,6.8,10.0,2.6,389.63,6.0,95.1,103,0.5224721057947963
RESP_0032,2025-07-17 12:48:27.835629,57,Male,Master,Employed,119647.30584949012,West,Tier-2,6.6,5.0,,569.43,7.0,87.4,303,0.9433524132406043
RESP_0033,2025-08-06 12:48:27.835629,34,Male,High School,Employed,18644.40076586903,South,Tier-1,6.2,7.0,3.6,240.29,8.0,92.8,159,0.7256557024927724
RESP_0034,2025-10-14 12:48:27.835629,22,Female,High School,Employed,,South,Rural,7.2,8.0,3.8,158.82,8.0,84.5,185,2.721208884347897
RESP_0035,2025-09-09 12:48:27.835629,44,Male,Bachelor,Retired,15000.0,Central,Metro,6.9,4.0,1.7,431.48,7.0,79.4,58,0.8127343867919051
RESP_0036,2025-08-29 12:48:27.835629,20,Female,Bachelor,Employed,27256.218654507076,Central,Tier-1,6.4,7.0,0.5,210.01,7.0,77.1,67,1.523876975234822
RESP_0037,2025-08-21 12:48:27.835629,37,,High School,Employed,18540.017277727013,South,Tier-1,5.9,12.0,3.1,155.92,0.0,90.4,190,0.7256557024927724
RESP_0038,2025-08-05 12:48:27.835629,18,Male,Master,Employed,62389.573758652536,Central,Tier-1,4.1,8.0,-4.782427918530451,189.22,9.0,42.5,85,1.523876975234822
RESP_0039,2025-08-13 12:48:27.835629,19,Male,Master,Employed,38740.207911032856,West,Tier-1,,6.0,3.0,346.85,2.0,60.5,425,1.0884835537391588
